BeamEnergy(MeV)  Angle(deg)  XS(mb/sr)
1418.9000  21.6000  5.7287e-06
1418.9000  21.7000  5.3167e-06
1418.9000  21.8000  4.9299e-06
1418.9000  21.9000  4.5672e-06
1418.9000  22.0000  4.2275e-06
1418.9000  22.1000  3.9097e-06
1418.9000  22.2000  3.6126e-06
1418.9000  22.3000  3.3352e-06
1418.9000  22.4000  3.0765e-06
1418.9000  22.5000  2.8353e-06
1418.9000  22.6000  2.6109e-06
1418.9000  22.7000  2.4022e-06
1418.9000  22.8000  2.2082e-06
1418.9000  22.9000  2.0282e-06
1418.9000  23.0000  1.8613e-06
1418.9000  23.1000  1.7067e-06
1418.9000  23.2000  1.5636e-06
1418.9000  23.3000  1.4312e-06
1418.9000  23.4000  1.3090e-06
1418.9000  23.5000  1.1962e-06
1418.9000  23.6000  1.0922e-06
1418.9000  23.7000  9.9640e-07
1418.9000  23.8000  9.0824e-07
1418.9000  23.9000  8.2717e-07
1418.9000  24.0000  7.5271e-07
1418.9000  24.1000  6.8438e-07
1418.9000  24.2000  6.2172e-07
1418.9000  24.3000  5.6433e-07
1418.9000  24.4000  5.1181e-07
1418.9000  24.5000  4.6379e-07
1418.9000  24.6000  4.1992e-07
1418.9000  24.7000  3.7988e-07
1418.9000  24.8000  3.4338e-07
1418.9000  24.9000  3.1013e-07
1418.9000  25.0000  2.7986e-07
